epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,9948.74,0.95005,0.49805,0.80932,0.92965,0.79649,0.87391,0.63928,0.80957,0.40144,0.7969,0.005842,0.005842,0.005842
44,10182.5,0.94545,0.4934,0.80863,0.93166,0.79735,0.87412,0.64118,0.80681,0.39998,0.79649,0.005743,0.005743,0.005743
45,10411.8,0.94797,0.49415,0.80905,0.93051,0.79601,0.87438,0.6425,0.80599,0.39933,0.79639,0.005644,0.005644,0.005644
46,10634.8,0.95301,0.49652,0.80968,0.93123,0.79535,0.87461,0.64284,0.80497,0.39871,0.79629,0.005545,0.005545,0.005545
47,10878.3,0.94586,0.49185,0.80674,0.92712,0.79796,0.87512,0.64361,0.80413,0.3975,0.79628,0.005446,0.005446,0.005446
48,11112.6,0.94142,0.49036,0.80832,0.93176,0.79431,0.87456,0.64259,0.80344,0.39698,0.79612,0.005347,0.005347,0.005347
49,11333.8,0.93572,0.48586,0.80627,0.93064,0.79593,0.87479,0.64309,0.80276,0.3956,0.79596,0.005248,0.005248,0.005248
50,11574.8,0.93851,0.48605,0.80641,0.93011,0.79585,0.87486,0.64344,0.8025,0.39487,0.7958,0.005149,0.005149,0.005149
51,11810.8,0.93259,0.4836,0.80595,0.92955,0.79731,0.87566,0.64393,0.80157,0.39424,0.79569,0.00505,0.00505,0.00505
52,12038.9,0.92916,0.48283,0.8063,0.92935,0.79706,0.87605,0.64428,0.80024,0.39373,0.79554,0.004951,0.004951,0.004951
53,12265.4,0.92888,0.47962,0.80593,0.92809,0.79869,0.8766,0.64468,0.7994,0.39283,0.79546,0.004852,0.004852,0.004852
54,12491.8,0.92761,0.47548,0.80616,0.92821,0.79844,0.87654,0.64533,0.79902,0.39213,0.79537,0.004753,0.004753,0.004753
