epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,11625.8,0.88726,0.4695,0.8265,0.66832,0.8728,0.66551,0.50039,0.7513,0.76231,0.80803,0.008614,0.008614,0.008614
44,11887.8,0.88306,0.46934,0.82673,0.66925,0.87171,0.6654,0.5003,0.75076,0.76194,0.80794,0.008581,0.008581,0.008581
45,12159.6,0.87937,0.47016,0.82578,0.66912,0.87224,0.66534,0.50063,0.75018,0.76178,0.80782,0.008548,0.008548,0.008548
46,12425,0.88545,0.4688,0.82529,0.67017,0.87083,0.66534,0.50071,0.74998,0.76075,0.80777,0.008515,0.008515,0.008515
47,12668.5,0.87989,0.46669,0.82548,0.67006,0.8709,0.66564,0.50098,0.74958,0.76074,0.80769,0.008482,0.008482,0.008482
48,12911.1,0.87929,0.46932,0.82491,0.67038,0.87111,0.66534,0.50069,0.7491,0.75989,0.80761,0.008449,0.008449,0.008449
49,13196.2,0.87753,0.46206,0.82712,0.67016,0.87134,0.66548,0.50099,0.74862,0.75969,0.80755,0.008416,0.008416,0.008416
50,13463.7,0.88091,0.46473,0.82645,0.67062,0.87017,0.66552,0.50117,0.74835,0.75921,0.8075,0.008383,0.008383,0.008383
51,13747.9,0.87879,0.46455,0.82418,0.671,0.8696,0.66575,0.50156,0.74785,0.75886,0.80743,0.00835,0.00835,0.00835
52,14016.6,0.8795,0.46543,0.82563,0.67022,0.87129,0.66578,0.50149,0.74728,0.75835,0.80736,0.008317,0.008317,0.008317
53,14299.3,0.87525,0.46286,0.82438,0.67043,0.87085,0.66606,0.50161,0.7471,0.75851,0.80731,0.008284,0.008284,0.008284
54,14573.2,0.87787,0.46533,0.82551,0.67041,0.87052,0.6657,0.5017,0.74682,0.75813,0.80727,0.008251,0.008251,0.008251
55,14839.2,0.87298,0.46183,0.82542,0.66985,0.87178,0.66594,0.50185,0.7466,0.7578,0.80725,0.008218,0.008218,0.008218
56,15125,0.87,0.4613,0.8234,0.66951,0.8727,0.66587,0.50191,0.74626,0.75766,0.80721,0.008185,0.008185,0.008185
57,15407.1,0.8723,0.46192,0.82469,0.6694,0.87287,0.66608,0.50194,0.74597,0.75737,0.80718,0.008152,0.008152,0.008152
58,15693.9,0.87266,0.46197,0.82286,0.66928,0.87293,0.66624,0.50211,0.7458,0.75718,0.80708,0.008119,0.008119,0.008119
59,15982.4,0.87164,0.45705,0.82392,0.66936,0.87315,0.66607,0.50229,0.74535,0.75709,0.80707,0.008086,0.008086,0.008086
60,16270.3,0.86909,0.46029,0.8236,0.66935,0.87357,0.6664,0.50262,0.7451,0.75669,0.80703,0.008053,0.008053,0.008053
61,16546.8,0.8666,0.45514,0.82456,0.66964,0.8742,0.66665,0.50272,0.74484,0.7563,0.80694,0.00802,0.00802,0.00802
62,16823.1,0.87133,0.45732,0.82383,0.66976,0.87413,0.66668,0.50285,0.74446,0.75603,0.8069,0.007987,0.007987,0.007987
63,17115.9,0.86631,0.45672,0.82278,0.66938,0.87462,0.66683,0.50309,0.74418,0.7555,0.80685,0.007954,0.007954,0.007954
64,17404.8,0.86897,0.45913,0.82256,0.66983,0.87388,0.66676,0.50305,0.74398,0.75543,0.80679,0.007921,0.007921,0.007921
65,17692.6,0.86812,0.45592,0.82372,0.66978,0.87472,0.66691,0.50327,0.74357,0.75527,0.80675,0.007888,0.007888,0.007888
66,17980,0.86303,0.45704,0.82265,0.66971,0.87458,0.66711,0.50363,0.74325,0.75531,0.80672,0.007855,0.007855,0.007855
67,18258.5,0.86581,0.45307,0.82342,0.66949,0.87472,0.6673,0.50365,0.74303,0.75435,0.80668,0.007822,0.007822,0.007822
68,18543.1,0.86476,0.45253,0.82378,0.66957,0.87483,0.66736,0.50381,0.74277,0.75418,0.80659,0.007789,0.007789,0.007789
69,18826.4,0.86473,0.45387,0.82288,0.66984,0.87478,0.66768,0.50431,0.74228,0.75374,0.80655,0.007756,0.007756,0.007756
70,19108.1,0.8633,0.45219,0.8236,0.66966,0.87546,0.66763,0.50439,0.74215,0.75341,0.8065,0.007723,0.007723,0.007723
71,19394.4,0.86092,0.45119,0.82254,0.67005,0.87455,0.66738,0.50437,0.74172,0.75334,0.80644,0.00769,0.00769,0.00769
72,19677.4,0.86252,0.45337,0.82122,0.6699,0.87502,0.66765,0.50463,0.74148,0.75282,0.80637,0.007657,0.007657,0.007657
73,19964.1,0.86045,0.45222,0.82291,0.66938,0.87648,0.66772,0.50486,0.74108,0.75236,0.80629,0.007624,0.007624,0.007624
74,20243.6,0.86193,0.45337,0.82203,0.66926,0.87704,0.66821,0.50527,0.74087,0.7521,0.80625,0.007591,0.007591,0.007591
75,20528.2,0.86237,0.45166,0.82263,0.66963,0.87657,0.66812,0.50527,0.74077,0.75188,0.8062,0.007558,0.007558,0.007558
76,20813.3,0.86054,0.4529,0.82181,0.66916,0.87755,0.66821,0.50545,0.74056,0.75152,0.80617,0.007525,0.007525,0.007525
77,21107.7,0.86204,0.4488,0.82415,0.66918,0.87758,0.66832,0.50567,0.74046,0.75138,0.8061,0.007492,0.007492,0.007492
