epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,11537.6,1.00139,0.5146,0.79906,0.90748,0.69481,0.79725,0.56275,0.85734,0.42351,0.78668,0.005842,0.005842,0.005842
44,11814.6,0.99972,0.51278,0.79882,0.90696,0.69528,0.79745,0.56317,0.85618,0.42304,0.78661,0.005743,0.005743,0.005743
45,12078.5,0.99132,0.50782,0.79719,0.90646,0.69552,0.79771,0.56371,0.85504,0.42264,0.78648,0.005644,0.005644,0.005644
46,12340.9,0.99332,0.50791,0.79758,0.90698,0.69512,0.79802,0.56431,0.85443,0.42199,0.78638,0.005545,0.005545,0.005545
47,12608.2,0.9902,0.50716,0.79717,0.90714,0.69518,0.79813,0.56431,0.85346,0.42151,0.78631,0.005446,0.005446,0.005446
48,12878.5,0.99046,0.50473,0.79781,0.90716,0.6952,0.79873,0.56542,0.8527,0.42122,0.78619,0.005347,0.005347,0.005347
49,13121.5,0.98122,0.49968,0.79713,0.90713,0.69514,0.79908,0.56586,0.85164,0.42058,0.78612,0.005248,0.005248,0.005248
50,13367.5,0.98312,0.50284,0.79665,0.90616,0.69585,0.79916,0.56625,0.85173,0.42062,0.78605,0.005149,0.005149,0.005149
51,13585.8,0.97939,0.49846,0.79647,0.90498,0.6972,0.79939,0.56673,0.85094,0.42004,0.78599,0.00505,0.00505,0.00505
52,13821.8,0.97042,0.49403,0.79665,0.907,0.69601,0.79959,0.56739,0.85002,0.41949,0.78588,0.004951,0.004951,0.004951
53,14079.3,0.97452,0.49459,0.79687,0.90691,0.69605,0.79945,0.56773,0.84894,0.4192,0.78581,0.004852,0.004852,0.004852
54,14317.7,0.97234,0.49342,0.79524,0.90633,0.69648,0.7997,0.5681,0.84828,0.41873,0.78572,0.004753,0.004753,0.004753
55,14557,0.97239,0.49177,0.79647,0.90779,0.6956,0.80006,0.56835,0.84805,0.4184,0.78567,0.004654,0.004654,0.004654
